order_date,sku,product_name,city,darkstore,warehouse,units_sold,revenue
2026-06-14,10274845,Real Nut Premium Cashew,Lucknow,,,1,345
2026-06-14,10275571,Real Nut California Almonds,HR-NCR,,,1,325
2026-06-14,10275571,Real Nut California Almonds,Bengaluru,,,1,325
2026-06-14,10275571,Real Nut California Almonds,Chennai,,,1,325
2026-06-14,10275571,Real Nut California Almonds,Mumbai,,,1,325
2026-06-14,10275571,Real Nut California Almonds,Hyderabad,,,1,325
2026-06-14,10275571,Real Nut California Almonds,Ahmedabad,,,1,325
2026-06-14,10275571,Real Nut California Almonds,Chennai,,,1,325
2026-06-14,10275571,Real Nut California Almonds,UP-NCR,,,1,325
2026-06-14,10275571,Real Nut California Almonds,Lucknow,,,2,650
2026-06-15,10257695,Real Nut Roasted & Salted Flavoured Cashew,Faridabad,,,1,395
2026-06-15,10257695,Real Nut Roasted & Salted Flavoured Cashew,Delhi,,,1,395
2026-06-15,10257695,Real Nut Roasted & Salted Flavoured Cashew,Mumbai,,,1,395
2026-06-15,10257699,Real Nut Roasted & Salted Pistachios,Faridabad,,,1,450
2026-06-15,10257699,Real Nut Roasted & Salted Pistachios,Delhi,,,1,450
2026-06-15,10257837,"Real Nut Dry Fruit, Nuts & Seeds Breakfast Mix",Delhi,,,1,240
2026-06-15,10257837,"Real Nut Dry Fruit, Nuts & Seeds Breakfast Mix",UP-NCR,,,1,240
2026-06-15,10257837,"Real Nut Dry Fruit, Nuts & Seeds Breakfast Mix",Delhi,,,1,240
2026-06-15,10257837,"Real Nut Dry Fruit, Nuts & Seeds Breakfast Mix",Delhi,,,1,240
2026-06-15,10258370,Real Nut Roasted & Salted Flavoured Almonds,Delhi,,,1,355
2026-06-15,10258370,Real Nut Roasted & Salted Flavoured Almonds,Ahmedabad,,,2,710
2026-06-15,10258370,Real Nut Roasted & Salted Flavoured Almonds,Mumbai,,,1,355
2026-06-15,10258370,Real Nut Roasted & Salted Flavoured Almonds,Hyderabad,,,1,355
2026-06-15,10258370,Real Nut Roasted & Salted Flavoured Almonds,Rajkot,,,1,355
2026-06-15,10258370,Real Nut Roasted & Salted Flavoured Almonds,Delhi,,,1,355
2026-06-15,10258370,Real Nut Roasted & Salted Flavoured Almonds,Hyderabad,,,1,355
2026-06-15,10274050,Real Nut Roasted Masala Flavoured Cashew,Lucknow,,,1,395
2026-06-15,10274050,Real Nut Roasted Masala Flavoured Cashew,Chennai,,,1,395
2026-06-15,10274050,Real Nut Roasted Masala Flavoured Cashew,UP-NCR,,,1,395
2026-06-15,10274050,Real Nut Roasted Masala Flavoured Cashew,UP-NCR,,,1,395
2026-06-15,10274050,Real Nut Roasted Masala Flavoured Cashew,Mysore,,,1,395
2026-06-15,10274050,Real Nut Roasted Masala Flavoured Cashew,UP-NCR,,,1,395
2026-06-15,10274050,Real Nut Roasted Masala Flavoured Cashew,HR-NCR,,,1,395
2026-06-15,10275571,Real Nut California Almonds,Hyderabad,,,1,325
2026-06-15,10275571,Real Nut California Almonds,Delhi,,,1,325
2026-06-15,10275571,Real Nut California Almonds,Delhi,,,1,325
2026-06-15,10275571,Real Nut California Almonds,Delhi,,,2,650
2026-06-15,10275571,Real Nut California Almonds,Delhi,,,1,325
2026-06-15,10275571,Real Nut California Almonds,Lucknow,,,1,325
2026-06-15,10275571,Real Nut California Almonds,Vadodara,,,1,325
2026-06-16,10257695,Real Nut Roasted & Salted Flavoured Cashew,Hyderabad,,,1,395
2026-06-16,10257695,Real Nut Roasted & Salted Flavoured Cashew,Hyderabad,,,1,395
2026-06-16,10257695,Real Nut Roasted & Salted Flavoured Cashew,Delhi,,,1,395
2026-06-16,10257699,Real Nut Roasted & Salted Pistachios,Ahmedabad,,,1,450
2026-06-16,10257699,Real Nut Roasted & Salted Pistachios,HR-NCR,,,1,450
2026-06-16,10257699,Real Nut Roasted & Salted Pistachios,HR-NCR,,,1,450
2026-06-16,10257699,Real Nut Roasted & Salted Pistachios,Bengaluru,,,1,450
2026-06-16,10257837,"Real Nut Dry Fruit, Nuts & Seeds Breakfast Mix",Delhi,,,1,240
2026-06-16,10257837,"Real Nut Dry Fruit, Nuts & Seeds Breakfast Mix",Faridabad,,,1,240
2026-06-16,10258370,Real Nut Roasted & Salted Flavoured Almonds,Gandhidham,,,1,355
2026-06-16,10258370,Real Nut Roasted & Salted Flavoured Almonds,Bengaluru,,,1,355
2026-06-16,10274050,Real Nut Roasted Masala Flavoured Cashew,HR-NCR,,,1,395
2026-06-16,10274050,Real Nut Roasted Masala Flavoured Cashew,UP-NCR,,,1,395
2026-06-16,10274050,Real Nut Roasted Masala Flavoured Cashew,UP-NCR,,,1,395
2026-06-16,10274050,Real Nut Roasted Masala Flavoured Cashew,Ahmedabad,,,1,395
2026-06-16,10274050,Real Nut Roasted Masala Flavoured Cashew,UP-NCR,,,1,395
2026-06-16,10274050,Real Nut Roasted Masala Flavoured Cashew,UP-NCR,,,1,395
2026-06-16,10274050,Real Nut Roasted Masala Flavoured Cashew,Delhi,,,1,395
2026-06-16,10274050,Real Nut Roasted Masala Flavoured Cashew,Ahmedabad,,,2,790
2026-06-16,10274845,Real Nut Premium Cashew,Kolkata,,,1,345
2026-06-16,10274845,Real Nut Premium Cashew,Ahmedabad,,,1,345
2026-06-16,10274845,Real Nut Premium Cashew,UP-NCR,,,1,345
2026-06-16,10274845,Real Nut Premium Cashew,Ahmedabad,,,1,345
2026-06-16,10274845,Real Nut Premium Cashew,HR-NCR,,,1,345
2026-06-16,10275571,Real Nut California Almonds,UP-NCR,,,1,325
2026-06-16,10275571,Real Nut California Almonds,HR-NCR,,,1,325
2026-06-16,10275571,Real Nut California Almonds,Ahmedabad,,,1,325
2026-06-16,10275571,Real Nut California Almonds,Haldwani,,,1,325
2026-06-16,10275571,Real Nut California Almonds,Delhi,,,1,325
2026-06-16,10275571,Real Nut California Almonds,Ahmedabad,,,1,325
2026-06-16,10275571,Real Nut California Almonds,Bengaluru,,,1,325
2026-06-16,10275571,Real Nut California Almonds,Lucknow,,,1,325
2026-06-17,10257695,Real Nut Roasted & Salted Flavoured Cashew,Delhi,,,1,395
2026-06-17,10257695,Real Nut Roasted & Salted Flavoured Cashew,Delhi,,,1,395
2026-06-17,10257695,Real Nut Roasted & Salted Flavoured Cashew,HR-NCR,,,1,395
2026-06-17,10257695,Real Nut Roasted & Salted Flavoured Cashew,Kolkata,,,1,395
2026-06-17,10257695,Real Nut Roasted & Salted Flavoured Cashew,Delhi,,,1,395
2026-06-17,10257695,Real Nut Roasted & Salted Flavoured Cashew,Bengaluru,,,1,395
2026-06-17,10257695,Real Nut Roasted & Salted Flavoured Cashew,Mumbai,,,1,395
